primaryTag,year,totalInv,numDeals,invGrowth,dealGrowth,hiGrowth
3dtech,2020,41264686,4,7.155076284584981,0.33333333333333326,1
3dtech,2021,58000000,2,0.4055601925578689,-0.5,0
3dtech,2022,35500000,2,-0.3879310344827587,0.0,0
3dtech,2023,12350000,2,-0.652112676056338,0.0,0
adtech,2020,14933713,4,-0.3295983784354759,-0.7142857142857143,0
adtech,2021,0,1,-1.0,-0.75,0
adtech,2024,0,1,-1.0,0.0,0
agtech,2020,128183317,13,0.7718151969099503,0.625,1
agtech,2021,189600700,22,0.4791371017493642,0.6923076923076923,1
agtech,2022,64100000,6,-0.6619210794052975,-0.7272727272727273,0
agtech,2023,107276129,10,0.6735745553822152,0.6666666666666667,1
agtech,2024,9200000,4,-0.9142400076721635,-0.6,0
ai,2020,140109848,24,-0.5631258729112173,-0.33333333333333337,0
ai,2021,1013972869,53,6.236985004794239,1.2083333333333335,1
ai,2022,511503887,16,-0.4955447994338791,-0.6981132075471699,0
ai,2023,975136221,36,0.9064101872602193,1.25,1
ai,2024,1506262360,19,0.5446686601953226,-0.4722222222222222,0
analytics,2020,223844805,36,1.3755487607848278,0.43999999999999995,1
analytics,2021,234184777,20,0.04619259312272184,-0.4444444444444444,0
analytics,2022,57700000,8,-0.7536133614696912,-0.6,0
analytics,2023,258901850,11,3.487033795493934,0.375,1
analytics,2024,77003850,5,-0.702575126442704,-0.5454545454545454,0
analytics,2025,0,1,-1.0,-0.8,0
ar,2020,167878,1,-0.9520348571428572,0.0,0
ar,2021,5992783,3,34.69725038420758,2.0,1
ar,2022,15600000,3,1.603131132897687,0.0,1
audiotech,2021,3000000,1,0.5789473684210527,0.0,1
autotech,2021,177546000,5,52.522043861632376,4.0,1
autotech,2024,274049000,1,0.5435380126840368,-0.8,0
batterytech,2023,0,1,-1.0,0.0,0
biotech,2020,525335612,48,0.11499366067302574,0.41176470588235303,0
biotech,2021,532411646,39,0.013469549442994833,-0.1875,0
biotech,2022,253631010,9,-0.5236185911680827,-0.7692307692307692,0
biotech,2023,449736000,10,0.7731901158300793,0.11111111111111116,1
biotech,2024,499520838,20,0.11069791611078506,1.0,0
biotech,2025,183880000,3,-0.6318872286965533,-0.85,0
blockchain,2020,19400000,3,-0.16574899055627856,0.0,0
blockchain,2021,998063975,21,50.44659664948453,6.0,1
blockchain,2022,258745635,7,-0.7407524552722184,-0.6666666666666667,0
blockchain,2023,120000000,1,-0.536224060359511,-0.8571428571428572,0
blockchain,2024,6838325,1,-0.9430139583333333,0.0,0
cleantech,2020,47060000,14,-0.8273953190754874,-0.30000000000000004,0
cleantech,2021,541041094,27,10.496835826604334,0.9285714285714286,1
cleantech,2022,689508072,21,0.2744097992674841,-0.2222222222222222,0
cleantech,2023,733231020,25,0.06341180005794045,0.19047619047619047,0
cleantech,2024,595443288,17,-0.18791857987677607,-0.31999999999999995,0
cleantech,2025,54250000,4,-0.9088914073039311,-0.7647058823529411,0
constructiontech,2023,30585442,3,1.9409078846153847,-0.25,0
constructiontech,2024,1200000,1,-0.9607656479183789,-0.6666666666666667,0
consumer,2020,6000000,2,1.4680287443081088,-0.5,0
consumer,2021,8602805,5,0.4338008333333334,1.5,0
consumer,2022,12100000,1,0.4065179903531464,-0.8,0
cryptocurrency,2020,180000,1,-0.9780742998636709,-0.5,0
cryptocurrency,2021,14304490,10,78.46938888888889,9.0,1
cryptocurrency,2022,83963183,5,4.869708252443813,-0.5,0
cybersecurity,2020,98655520,11,-0.7748891263199718,-0.42105263157894735,0
cybersecurity,2021,303671047,15,2.078094839498084,0.36363636363636354,1
cybersecurity,2022,1058482070,16,2.485620642655472,0.06666666666666665,1
cybersecurity,2023,47000000,3,-0.9555967915450849,-0.8125,0
cybersecurity,2024,105598320,7,1.2467727659574468,1.3333333333333335,1
data,2020,7061000,5,-0.4419990358856023,1.5,0
data,2021,166034125,7,22.514250814332247,0.3999999999999999,1
data,2022,11200000,2,-0.9325439875688206,-0.7142857142857143,0
data,2023,21000000,2,0.875,0.0,1
data,2024,1500000,1,-0.9285714285714286,-0.5,0
devtech,2020,5736000,5,46.8,0.6666666666666667,1
devtech,2021,133802279,14,22.326757147838215,1.7999999999999998,1
devtech,2022,72462175,13,-0.4584384097075058,-0.0714285714285714,0
devtech,2023,13300000,2,-0.8164559647843858,-0.8461538461538461,0
devtech,2025,1500000,1,-0.887218045112782,-0.5,0
displaytech,2025,58400000,1,3.0555555555555554,0.0,1
ecommerce,2020,318632500,17,2.0179078459996904,0.0,1
ecommerce,2021,226176382,17,-0.29016537233333073,0.0,0
ecommerce,2022,143726165,6,-0.3645394637181879,-0.6470588235294117,0
ecommerce,2023,9700000,3,-0.9325105487925598,-0.5,0
edtech,2020,164796096,15,5.129935314631405,0.0,1
edtech,2021,847703856,12,4.143955934490099,-0.19999999999999996,0
edtech,2022,379600000,5,-0.5522021077134277,-0.5833333333333333,0
edtech,2023,132464875,2,-0.6510408983140148,-0.6,0
edtech,2024,1350000,1,-0.9898086190773214,-0.5,0
entertainmenttech,2020,0,1,-1.0,-0.5,0
esports,2020,5494745,3,108.8949,2.0,1
esports,2021,821378,1,-0.8505157200197644,-0.6666666666666667,0
fintech,2020,383310895,42,-0.6520700302142857,-0.1923076923076923,0
fintech,2021,2481721091,76,5.47443399958668,0.8095238095238095,1
fintech,2022,1058903702,51,-0.573318812561117,-0.32894736842105265,0
fintech,2023,555572975,18,-0.4753319173871393,-0.6470588235294117,0
fintech,2024,1758283597,24,2.164811241943509,0.33333333333333326,1
fintech,2025,99000000,2,-0.9436950898200298,-0.9166666666666666,0
fitnesstech,2020,330000,4,-0.9468156087485423,-0.19999999999999996,0
fitnesstech,2021,22616800,4,67.53575757575757,0.0,1
fitnesstech,2022,5740000,2,-0.7462063598740759,-0.5,0
fitnesstech,2023,3299975,1,-0.4250914634146341,-0.5,0
foodtech,2021,2000000,1,-0.7666277712952159,-0.8,0
foodtech,2024,22300000,4,10.15,3.0,1
games,2020,7900000,1,-0.7366666666666667,0.0,0
games,2021,17377820,8,1.1997240506329114,7.0,1
games,2022,40705270,8,1.3423691809444454,0.0,1
games,2024,22717550,4,-0.4419015031714567,-0.5,0
geotech,2020,1450000,3,-0.06451612903225812,0.5,0
geotech,2021,1000000,1,-0.31034482758620685,-0.6666666666666667,0
geotech,2022,40879755,7,39.879755,6.0,1
geotech,2024,115000000,1,1.8131284054906884,-0.8571428571428572,0
govtech,2022,10000000,1,-0.18566775244299671,0.0,0
greentech,2020,14050000,5,-0.7135952560774373,1.5,0
greentech,2021,11600000,2,-0.17437722419928825,-0.6,0
greentech,2022,337800000,2,28.120689655172413,0.0,1
greentech,2024,80000000,3,-0.7631734754292481,0.5,0
hardware,2020,19624152,8,-0.8623698864950999,-0.6666666666666667,0
hardware,2021,225904000,8,10.511529262512846,0.0,1
hardware,2022,272495940,6,0.2062466357390751,-0.25,0
hardware,2023,195800000,4,-0.28145718427951627,-0.33333333333333337,0
hardware,2024,316800000,3,0.6179775280898876,-0.25,0
healthtech,2020,469801835,65,0.8140653139888054,0.18181818181818188,1
healthtech,2021,869577030,63,0.8509443029314689,-0.03076923076923077,0
healthtech,2022,417179720,29,-0.5202498391660598,-0.5396825396825398,0
healthtech,2023,456060410,22,0.09319889758783106,-0.24137931034482762,0
healthtech,2024,176979278,19,-0.6119389578235919,-0.13636363636363635,0
healthtech,2025,8100009,3,-0.9542318790564848,-0.8421052631578947,0
hrtech,2020,41116425,11,2.6746271743360026,0.5714285714285714,1
hrtech,2021,269384898,10,5.55175876793763,-0.09090909090909094,0
hrtech,2022,61582946,11,-0.7713942152763145,0.10000000000000009,0
hrtech,2023,8000000,1,-0.8700939055432652,-0.9090909090909091,0
information technology,2025,24500000,1,-0.7074626970461124,-0.9285714285714286,0
insurtech,2021,66420000,7,1.4213234825835137,0.0,1
insurtech,2022,38936000,8,-0.4137910267991569,0.1428571428571428,0
insurtech,2023,17130000,4,-0.5600472570371893,-0.5,0
insurtech,2024,5500000,2,-0.6789258610624636,-0.5,0
iot,2020,28425000,6,8.918692889003808,0.19999999999999996,1
iot,2021,10756553,4,-0.6215812489006156,-0.33333333333333337,0
iot,2022,87800000,3,7.1624661729459245,-0.25,0
iot,2023,46997775,5,-0.4647178246013668,0.6666666666666667,0
legaltech,2020,15655000,6,6.8275,2.0,1
legaltech,2021,21445000,5,0.36984988821462794,-0.16666666666666663,0
legaltech,2022,44900000,7,1.0937281417579854,0.3999999999999999,1
legaltech,2023,15650000,3,-0.6514476614699332,-0.5714285714285714,0
legaltech,2024,43621755,6,1.7873325878594248,1.0,1
logisticstech,2020,1863125,4,-0.8674113195666697,-0.33333333333333337,0
logisticstech,2021,129854876,8,68.69735041932238,1.0,1
logisticstech,2022,121375000,6,-0.06530271531736709,-0.25,0
logisticstech,2023,50200000,1,-0.5864057672502574,-0.8333333333333334,0
manufacturing,2025,51200000,3,-0.6235294117647059,-0.7,0
marketplace,2020,408661971,31,0.4072021156344665,0.34782608695652173,0
marketplace,2021,1287072370,36,2.1494791816584273,0.16129032258064524,1
marketplace,2022,1048642827,25,-0.18524952330380617,-0.3055555555555556,0
marketplace,2023,67649963,6,-0.935488079202777,-0.76,0
marketplace,2024,40435605,4,-0.4022819347292178,-0.33333333333333337,0
martech,2020,99471650,8,3.450519606435093,0.33333333333333326,1
martech,2021,53798708,9,-0.4591553673835711,0.125,0
martech,2022,77513800,5,0.4408115525748313,-0.4444444444444444,0
medtech,2023,12600000,3,0.3548703233182968,0.5,0
medtech,2024,4610879,4,-0.6340572222222223,0.33333333333333326,0
mining technology,2024,1200000,1,-0.9666666666666667,-0.6666666666666667,0
misc,2021,21125000,3,17.718179095537586,2.0,1
misc,2022,100500000,4,3.7573964497041423,0.33333333333333326,1
misc,2024,0,1,-1.0,-0.75,0
nanotech,2020,11669806,7,31.962294688378265,1.3333333333333335,1
nanotech,2021,35385541,4,2.0322304415343324,-0.4285714285714286,0
nanotech,2022,17800000,1,-0.49696968035616584,-0.75,0
nanotech,2023,50000000,1,1.808988764044944,0.0,1
nanotech,2024,19021840,3,-0.6195632,2.0,0
networks,2020,16232000,5,0.6084624626856427,0.25,1
networks,2021,87056000,3,4.36323311976343,-0.4,0
networks,2022,37000000,2,-0.5749862157691601,-0.33333333333333337,0
networks,2024,10000000,1,-0.7297297297297297,-0.5,0
nocode,2023,2900000,1,7.2857142857142865,0.0,1
pharmaceuticals,2024,2800000,1,-0.7052631578947368,0.0,0
platform,2020,17940000,10,-0.6057136357917073,-0.16666666666666663,0
platform,2021,398092600,26,21.190222965440356,1.6,1
platform,2022,50236027,7,-0.8738081868389415,-0.7307692307692308,0
platform,2023,133300000,2,1.6534741690460515,-0.7142857142857143,0
platform,2024,706069487,3,4.29684536384096,0.5,1
propertytech,2020,139201064,15,1.8690403562067752,-0.34782608695652173,0
propertytech,2021,80050029,14,-0.42493234821825787,-0.06666666666666665,0
propertytech,2022,230262890,16,1.8764872777247836,0.1428571428571428,1
propertytech,2023,94625850,4,-0.5890529733210592,-0.75,0
propertytech,2024,64740350,6,-0.3158280744637961,0.5,0
quantum,2020,57900100,2,0.09946446678448573,-0.5,0
quantum,2021,2400000,2,-0.9585492943880926,0.0,0
quantum,2022,9500000,1,2.9583333333333335,-0.5,0
quantum,2023,8220000,1,-0.13473684210526315,0.0,0
retailtech,2020,24234079,6,5.797707569374455,1.0,1
retailtech,2021,41084000,5,0.6952985917063321,-0.16666666666666663,0
retailtech,2022,14500000,2,-0.6470645506766625,-0.6,0
retailtech,2023,2300000,1,-0.8413793103448276,-0.5,0
robotics,2020,159845000,8,1.3793326177795695,0.1428571428571428,1
robotics,2021,13545500,7,-0.9152585317025869,-0.125,0
robotics,2022,362711589,6,25.77727577424237,-0.1428571428571429,0
robotics,2023,44783000,3,-0.8765327567187273,-0.5,0
robotics,2024,2000000,1,-0.9553401960565393,-0.6666666666666667,0
saas,2020,337110510,57,-0.5809677477239079,-0.25,0
saas,2021,1895123992,93,4.621669855383625,0.631578947368421,1
saas,2022,1319015467,54,-0.3039951620220953,-0.4193548387096774,0
saas,2023,390305840,28,-0.7040930529133818,-0.4814814814814815,0
saas,2024,1815700000,17,3.6519929089454566,-0.3928571428571429,0
saas,2025,20000000,1,-0.9889849644765104,-0.9411764705882353,0
salestech,2022,48607000,3,8.7214,2.0,1
social,2022,1050000,3,5.397017162283187,0.5,1
social,2024,2100000,1,1.0,-0.6666666666666667,0
socialtech,2020,0,2,-1.0,1.0,0
software development,2023,15966300,1,0.16118545454545452,0.0,0
software development,2024,348051951,23,20.799161421243493,22.0,1
software development,2025,22400000,5,-0.9356417915898998,-0.782608695652174,0
spacetech,2021,60000000,1,383.61538461538464,0.0,1
spacetech,2023,127578800,2,1.1263133333333335,1.0,1
sportstech,2021,30500000,4,19.26578073089701,3.0,1
sportstech,2022,2700000,1,-0.9114754098360656,-0.75,0
sportstech,2024,250000,1,-0.9074074074074074,0.0,0
telecommunications,2024,18000000,2,-0.7464788732394366,-0.33333333333333337,0
transportation,2020,35975000,3,0.21681050003791635,-0.5,0
transportation,2021,1347360,3,-0.9625473245309243,0.0,0
transportation,2022,2500000,2,0.8554803467521672,-0.33333333333333337,0
transportation,2024,130975000,4,51.39,1.0,1
transportation,2025,3000000,1,-0.9770948654323344,-0.75,0
traveltech,2020,249729225,5,288.04681848433114,-0.16666666666666663,0
traveltech,2021,401100000,4,0.6061396098113867,-0.19999999999999996,0
traveltech,2022,132000000,3,-0.6709050112191474,-0.25,0
traveltech,2023,21400000,2,-0.8378787878787879,-0.33333333333333337,0
videotech,2021,8775000,3,55.25,2.0,1
videotech,2022,1722000,3,-0.8037606837606838,0.0,0
wearables,2020,17000000,4,-0.6877006408566555,0.33333333333333326,0
wearables,2021,3807450,2,-0.7760323529411765,-0.5,0
wearables,2022,0,1,-1.0,-0.5,0
